;title;author;pub_house;price;link
277;Трилогия о Генрихе Наваррском: Королева Марго. Графиня де Монсоро. Сорок пять;Дюма Александр;Альфа-книга;494;/books/192148/
278;Королевская кровь-9. Горький пепел;Котова Ирина Владимировна;Т8;2335;/books/860029/
279;Между прочим...;Токарева Виктория Самойловна;КоЛибри;843;/books/939780/
280;Тени исчезают в полдень;Иванов Анатолий Степанович;Азбука;843;/books/917953/
281;Замок Броуди;Кронин Арчибалд Джозеф;Иностранка;843;/books/532907/
282;Единственная для князя. Как долго я тебя искал;Боярова Мелина;Т8;1163;/books/943809/
283;Александровскiе кадеты. В 2-х томах;Перумов Ник Даниилович;Альфа-книга;254;/books/824440/
284;Золото тигров. Сокровенная роза. История ночи. Полное собрание поэтических текстов;Борхес Хорхе Луис;Иностранка;864;/books/943586/
285;Ромео и Джульетта;Шекспир Уильям;Аркадия;593;/books/810907/
286;Стрижи;Арамбуру Фернандо;Corpus;1407;/books/923008/
287;Гадкие лебеди кордебалета;Бьюкенен Кэти Мари;Аркадия;413;/books/737233/
288;Румынские мифы. От вырколаков и фараонок до Мумы Пэдурий и Дракулы;Осояну Наталия Георгиевна;Манн, Иванов и Фербер;899;/books/879094/
289;Дитя Дракулы;Барнс Джонатан;Азбука;961;/books/949225/
290;Дикие лебеди. Три дочери Китая;Юн Чжан;Аркадия;1133;/books/810910/
291;Бесы;Достоевский Федор Михайлович;Речь;1908;/books/602120/
292;Подросток;Достоевский Федор Михайлович;Азбука;843;/books/941249/
293;Игра в кроликов;Майлз Терри;fanzon;607;/books/939342/
294;Комната из стекла;Кливз Энн;Inspiria;583;/books/941808/
295;Ты такой светлый;Ренберг Туре;Corpus;759;/books/941697/
296;Внучка;Шлинк Бернхард;Иностранка;705;/books/922868/
297;Невеста ледяного дракона;Черчень Александра;Яуза;479;/books/941827/
298;Ночь в тоскливом октябре. Подарочное иллюстрированное издание;Желязны Роджер;Эксмо;1680;/books/836209/
299;"Трактир на Пятницкой. Агония. Вариант ""Омега""";Леонов Николай Иванович;Азбука;911;/books/940699/
300;Сага о Видящих. Книги 1 и 2. Ученик убийцы. Королевский убийца;Хобб Робин;Азбука;1057;/books/914275/
301;Невеста света для стража тьмы;Александрова Евгения Александровна;Эксмо;480;/books/940659/
302;Граф Монте-Кристо. В 2-х томах;Дюма Александр;Иностранка;1532;/books/912702/
303;Униженные и оскорбленные;Достоевский Федор Михайлович;Речь;1028;/books/631688/
